"STATION","NAME","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08"
"USW00025333","SITKA AIRPORT, AK US","2018-02-04","5.59"," 0238","0.00",,,"42","28","  300","  290","14.1","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-05","2.46"," 1449","0.00",,,"41","28","  190","  180","8.9","10.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-06","4.03"," 0311","0.10",,,"39","33","  330","  140","13.0","18.1","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-07","3.36"," 1419","0.00",,,"42","31","  320","  320","13.0","14.1",,"    1",,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-08","4.03"," 1838","0.00",,,"39","28","  110","  110","12.1","15.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-09","3.36"," 0525","0.00","0.0",,"37","25","  340","  330","8.9","11.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-10","3.13"," 2015","0.00","0.0",,"37","24","  100","  100","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-11","4.25"," 1302","0.00",,,"40","32","  300","  300","13.0","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-12","7.16"," 1226","1.24",,,"43","35","  230","  180","17.0","21.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-13","4.92"," 0426","0.37","0.0",,"41","31","  270","  250","23.9","29.1","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-14","4.47"," 2333","0.00",,,"40","29","  100","  110","14.1","19.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-15","4.92"," 1519","0.43",,,"38","33","  110","  270","13.0","17.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-16","3.36"," 2338","0.00",,,"36","28","   40","  350","13.0","19.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-17","13.42"," 0814","0.00","0.0",,"37","30","  350","   40","25.9","42.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-18","3.58"," 0010","0.00","0.0",,"39","25","  350","  350","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-19","4.70"," 1412","0.03",,,"39","29","  340","  330","13.0","15.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-20","2.24"," 0334","0.03","0.0",,"38","28","  320","   80","8.1","8.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-21","3.80"," 1505","0.00",,,"41","29","  320","  310","12.1","15.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-22","8.72"," 2351","0.46",,,"42","34","  250","  250","25.1","32.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-23","13.20"," 0822","0.24","0.0",,"41","30","  280","  280","30.0","38.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-24","10.07"," 1758","0.58","0.0",,"39","30","  230","  230","25.1","31.1","    1",,"    1",,"    1"
"USW00025333","SITKA AIRPORT, AK US","2018-02-25","9.40"," 0229","0.02","0.0",,"38","32","  330","  320","21.9","25.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-26","12.53"," 1447","0.45",,,"42","33","  290","  290","40.0","46.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-27","11.18"," 0543","0.32",,,"39","32","  290","  280","28.0","32.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-28","5.82"," 1942","0.60",,,"40","30","  340","  340","21.0","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-01","7.61"," 2311","0.00",,,"35","27","   30","   30","17.0","25.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-02","5.14"," 0728","0.00",,,"40","26","  350","  340","21.9","25.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-03","3.36"," 1809","0.00",,,"41","25","   90","   90","8.1","8.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-04","2.46"," 0317","0.00","0.0",,"40","27","   80","   90","6.9","8.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-05","3.58"," 1923","0.00",,,"39","25","  100","  110","8.9","11.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-06","4.92"," 2351","0.00",,,"39","31","  100","  100","8.9","11.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-07","8.95"," 1150","0.31",,,"40","32","  110","  180","14.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-08","6.49"," 2348","0.24",,,"39","33","  110","  100","23.0","30.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-09","12.75"," 0231","0.42",,,"42","33","  100","  110","25.9","35.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-10","9.17"," 0701","0.48",,,"43","34","  110","  100","18.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-11","12.08"," 0845","0.51",,,"44","34","  110","  110","28.0","36.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-12","10.74"," 1746","0.01","0.0",,"54","36","  130","  110","23.0","35.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-13","10.07"," 2243","0.00","0.0",,"58","39","  110","  100","23.0","30.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-14","9.17"," 0427","0.00","0.0",,"54","42","  230","  110","18.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-15","4.25"," 1338","0.00",,,"45","36","  260","  260","13.0","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-16","6.71"," 1707","0.00",,,"45","36","  300","  300","19.9","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-17","2.91"," 0319","0.00",,,"45","34","  220","  350","8.9","11.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-18","3.36"," 1301","0.02",,,"43","33","  260","  270","8.1","8.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-19","6.04"," 2054","0.90",,,"41","36","  100","   90","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-20","13.65"," 1539","0.17",,,"41","33","  250","  230","25.1","33.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-21","4.92"," 1351","0.00",,,"42","30","  100","  120","14.1","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-22","6.26"," 1458","0.00",,,"46","34","   20","   20","19.9","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-23","6.71"," 0645","0.00",,,"42","31","  110","  100","14.1","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-24","4.03"," 1400","0.01",,,"42","28","  200","  200","16.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-25","5.82"," 0824","0.00",,,"41","32","  110","  110","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-26","7.38"," 1215","0.49",,,"42","31","  240","  110","16.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-27","10.74"," 1737","0.22",,,"43","38","  230","  280","21.0","36.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-28","4.25"," 1356","0.07",,,"43","36","  230","  230","13.0","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-29","7.83"," 1637","0.00",,,"46","33","  330","  340","23.0","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-30","5.82"," 1548","0.05",,,"45","28","  190","  220","15.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-03-31","4.70"," 2044","0.00",,,"43","33","   10","  350","15.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-01","7.16"," 0130","0.00",,,"45","31","  330","  320","19.9","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-02","4.25"," 1038","0.00",,,"41","30","   90","   90","13.0","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-03","5.14"," 1707","0.00",,,"43","28","  290","  320","14.1","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-04","7.61"," 1814","0.00",,,"45","31","   80","   70","15.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-05","14.32"," 1935","0.00",,,"52","38","  110","  110","28.0","36.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-06","13.42"," 0814","0.00",,,"51","45","  110","  130","21.9","29.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-07","4.25"," 1513","0.00",,,"59","38","  110","  110","14.1","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-08","4.92"," 1854","0.02",,,"52","40","  200","  190","16.1","19.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-09","9.62"," 2000","0.01",,,"54","43","  100","  110","25.1","34.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-10","14.54"," 1959","0.00",,,"57","45","  130","  130","29.1","36.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-11","10.74"," 1806","0.00",,,"58","43","  210","  210","29.1","34.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-12","11.63"," 1004","0.01",,,"51","43","  110","  100","21.9","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-13","10.74"," 0824","0.01",,,"51","40","  120","  120","19.9","25.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-14","5.37"," 0211","0.05","0.0",,"48","37","  140","  150","14.1","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-15","8.28"," 1737","0.00","0.0",,"50","34","  300","  290","18.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-16","4.47"," 1319","0.00",,,"49","35","  230","  220","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-17","6.93"," 1327","0.00",,,"46","34","  220","  220","19.9","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-18","11.86"," 1642","0.95",,,"46","41","  190","  200","25.1","33.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-19","13.87"," 0814","0.85",,,"45","40","  110","  110","25.9","35.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-20","5.82"," 0153","0.06",,,"45","34","  150","  150","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-21","7.16"," 1419","0.22",,,"47","32","  190","  200","23.0","29.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-22","13.42"," 1016","0.13",,,"47","41","  150","  140","19.9","25.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-23","14.32"," 0721","0.49",,,"45","43","  110","  110","23.9","32.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-24","6.49"," 0039","0.23",,,"46","41","  190","  190","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-25","5.82"," 1646","0.11",,,"45","41","  210","  280","13.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-26","4.92"," 2333","0.04",,,"45","41","  330","  330","18.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-27","12.97"," 1941","0.01",,,"46","40","  330","  330","21.0","25.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-28","6.26"," 0300","0.02",,,"47","38","  280","  280","21.0","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-29","5.59"," 1210","0.01","0.0",,"46","38","  120","  250","12.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-04-30","5.59"," 0423","0.08",,,"44","39","  110","  110","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-01","8.50"," 0657","0.88",,,"44","42","  190","  200","17.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-02","6.93"," 0615","0.14",,,"47","36","  290","  290","14.1","15.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-03","4.03"," 1534","0.03",,,"45","36","  130","  120","10.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-04","6.71"," 1651","0.10",,,"48","42","  200","  190","17.0","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-05","11.41"," 0431","0.31",,,"50","44","  190","  200","21.9","30.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-06","4.03"," 1603","0.00",,,"56","41","  230","  220","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-07","4.25"," 1445","0.00",,,"53","43","  300","  230","12.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-08","4.70"," 0300","0.00",,,"51","43","  290","  350","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-09","2.91"," 1454","0.20",,,"56","43","  200","  210","17.0","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-10","7.16"," 1647","0.00",,,"52","43","  190","  190","21.0","28.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-11","8.95"," 2344","0.76",,,"48","44","  180","  180","17.0","23.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-12","8.72"," 0030","0.16",,,"49","44","  220","  190","16.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-13","11.63"," 1242","0.16",,,"54","43","  190","  190","25.9","36.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-14","7.83"," 0133","0.27",,,"45","39","  170","  170","19.9","28.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-15","9.84"," 1635","0.03",,,"50","38","  330","  310","18.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-16","12.30"," 1542","0.00",,,"51","38","  310","  310","21.0","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-17","3.58"," 0318","0.00","0.0",,"57","38","  230","  320","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-18","8.05"," 0735","0.00",,,"52","45","  230","  230","19.9","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-19","5.82"," 1035","0.00",,,"50","45","  230","  240","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-20","6.49"," 2005","0.37",,,"52","46","  200","  200","17.0","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-21","10.51"," 1350","0.63","0.0",,"53","47","  180","  190","30.0","40.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-22","8.28"," 1011","0.16","0.0",,"52","44","  200","  190","23.0","32.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-23","5.82"," 1835","0.00",,,"55","42","  230","  220","13.0","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-24","6.49"," 1452","0.17",,,"52","45","  190","  200","21.9","29.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-25","3.80"," 1141","0.11",,,"50","45","  200","  190","21.0","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-26","12.75"," 1827","0.31",,,"52","44","  160","  160","29.1","36.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-27","10.29"," 0242","0.23",,,"51","45","  170","  170","23.9","33.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-28","6.93"," 0503","1.03",,,"50","42","  110","  100","18.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-29","4.70"," 1235","0.00",,,"54","41","  230","  230","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-30","4.03"," 1144","0.00",,,"53","44","  230","  210","8.9","11.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-05-31","4.03"," 1333","0.00",,,"54","42","  250","  260","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-01","8.50"," 1144","0.02",,,"58","44","  210","  110","18.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-02","5.37"," 0935","0.19",,,"53","45","  220","  200","14.1","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-03","3.80"," 1338","0.00",,,"57","43","  230","  220","13.0","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-04","4.03"," 0952","0.07",,,"52","46","  210","  220","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-05","5.37"," 1125","0.00",,,"63","44","  130","  130","15.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-06","9.84"," 0912","0.07",,,"57","47","  130","  120","19.9","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-07","8.05"," 2331","0.04",,,"59","48","  190","  190","23.0","31.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-08","6.49"," 0003","0.02","0.0",,"59","45","  190","  190","19.9","25.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-09","8.05"," 1541","0.19",,,"60","44","  300","  300","19.9","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-10","6.71"," 1019","1.09",,,"53","46","  100","   80","14.1","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-11","4.70"," 0054","0.07",,,"51","49","  260","  260","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-12","4.92"," 1116","0.02",,,"63","46","  220","  110","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-13","5.14"," 2117","0.10",,,"56","49","  310","  310","17.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-14","6.71"," 1142","0.01",,,"54","49","  300","  250","15.0","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-15","6.71"," 1810","0.00",,,"60","50","  310","  310","16.1","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-16","4.47"," 2109","0.36",,,"57","48","  190","  190","17.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-17","3.80"," 0025","0.02",,,"54","52","  210","  220","13.0","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-18","3.58"," 1014","0.00",,,"62","52","  300","  300","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-19","3.80"," 2113","0.00",,,"67","52","  300","  320","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-20","3.36"," 2309","0.00",,,"62","52","  210","  220","8.9","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-21","5.59"," 2254","0.00",,,"57","52","  230","  240","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-22","7.61"," 1430","0.00",,,"60","52","  300","  300","17.0","19.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-23","4.70"," 2156","0.00",,,"57","49","  200","  200","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-24","4.47"," 1731","0.05",,,"61","50","  230","  230","12.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-25","8.95"," 1507","0.01",,,"60","50","  310","  300","21.0","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-26","6.04"," 0105","0.11",,,"55","49","  290","  290","17.0","19.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-27","3.13"," 1226","0.00",,,"56","50","  260","  260","6.9","10.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-28","4.92"," 1927","0.20",,,"61","50","  210","  200","14.1","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-29","3.58"," 0755","0.38",,,"57","51","  310","  210","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-06-30","4.70"," 1449","0.14",,,"57","51","  280","  230","14.1","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-01","7.38"," 1518","0.25",,,"62","50","  300","  300","19.9","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-02","7.83"," 2315","0.01",,,"58","53","  330","  340","13.0","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-03","5.14"," 0349","0.00",,,"70","54","  340","  340","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-04","2.91"," 1539","0.00",,,"70","55","  220","  220","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-05","4.92"," 1703","0.00",,,"67","55","  300","  310","13.0","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-06","7.16"," 0046","0.00",,,"59","55","  200","  210","15.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-07","3.80"," 1216","0.00",,,"58","55","  230","  210","8.1","10.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-08","4.47"," 0450","0.00",,,"62","54","  230","  210","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-09","6.71"," 2311","0.00",,,"66","55","  200","  190","17.0","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-10","9.62"," 0033","0.44",,,"59","53","  190","  190","21.0","25.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-11","6.04"," 0917","0.29",,,"56","50","  210","  160","13.0","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-12","7.38"," 1917","0.02",,,"63","49","  310","  310","17.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-13","8.28"," 1437","0.00","0.0",,"65","48","  300","  300","18.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-14","4.92"," 1219","0.32",,,"58","52","  200","  190","17.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-15","6.71"," 1739","0.75",,,"56","52","  230","  160","15.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-16","4.70"," 0223","0.61",,,"59","52","  220","  170","13.0","18.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-17","6.26"," 1630","0.00",,,"64","52","  290","  290","18.1","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-18","3.58"," 0452","0.16",,,"60","53","  330","  170","8.9","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-19","6.49"," 1738","0.14",,,"60","53","  320","  310","14.1","16.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-07-20","12.97"," 2309","0.00",,,"61","56","  340","  330","19.9","23.9",,,,,
