State,Population,African-American Alone,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (All People),Disparity in Rate
Kentucky,"4,339,367","337,520",7.78%,16%,8%,19,3,1,1,,86,12,122,8.04,4.02,2.00
Louisiana,"4,533,372","1,452,396",32.04%,54%,22%,80,5,,4,,49,10,148,7.87,4.66,1.69
Maine,"1,328,361","15,707",1.18%,3%,2%,1,,,,,27,3,31,9.10,3.33,2.73
Maryland,"5,773,552","1,700,298",29.45%,63%,33%,80,6,,,,32,10,128,6.72,3.17,2.12
Massachusetts,"6,547,629","434,398",6.63%,27%,20%,15,10,,1,,26,4,56,4.93,1.22,4.04
Michigan,"9,883,640","1,400,362",14.17%,34%,20%,42,4,,2,1,56,18,123,4.28,1.78,2.41
Minnesota,"5,303,925","274,412",5.17%,20%,15%,17,4,5,7,,50,1,84,8.85,2.26,3.91
Mississippi,"2,967,297","1,074,200",36.20%,38%,2%,41,1,1,1,,51,13,108,5.45,5.20,1.05
Missouri,"5,988,927","704,043",11.76%,38%,26%,74,5,,,2,93,23,197,15.02,4.70,3.20
Montana,"989,415","4,027",0.41%,0%,0%,,1,5,,,28,6,40,0.00,5.78,0.00
Nebraska,"1,826,341","82,885",4.54%,22%,18%,8,3,2,,,22,1,36,13.79,2.82,4.90
Nevada,"2,700,551","218,626",8.10%,17%,9%,21,30,2,2,,57,9,121,13.72,6.40,2.14
New Hampshire,"1,316,470","15,035",1.14%,0%,-1%,,1,,,,16,,17,0.00,1.84,0.00
New Jersey,"8,791,894","1,204,826",13.70%,50%,36%,51,14,,1,,26,11,103,6.05,1.67,3.61
New Mexico,"2,059,179","42,550",2.07%,3%,1%,4,78,6,1,,41,12,142,13.43,9.85,1.36
New York,"19,378,102","3,073,800",15.86%,46%,30%,71,18,,1,,53,12,155,3.30,1.14,2.89
North Carolina,"9,535,483","2,048,628",21.48%,38%,16%,77,9,1,1,1,104,11,204,5.37,3.06,1.76
North Dakota,"672,591","7,960",1.18%,0%,-1%,,,4,,,7,,11,0.00,2.34,0.00
Ohio,"11,536,504","1,407,681",12.20%,37%,25%,80,2,,4,,116,13,215,8.12,2.66,3.05
Oklahoma,"3,751,351","277,644",7.40%,24%,16%,51,18,12,2,1,123,7,214,26.24,8.15,3.22
Oregon,"3,831,074","69,206",1.81%,8%,6%,9,9,,,,87,8,113,18.58,4.21,4.41
Pennsylvania,"12,702,379","1,377,689",10.85%,34%,23%,58,10,1,1,,78,23,171,6.01,1.92,3.13
Rhode Island,"1,052,567","60,189",5.72%,50%,44%,3,1,,,,2,,6,7.12,0.81,8.74
South Carolina,"4,625,364","1,290,684",27.90%,32%,4%,38,2,,2,,67,11,120,4.21,3.71,1.13
South Dakota,"814,180","10,207",1.25%,0%,-1%,,1,9,1,,11,3,25,0.00,4.39,0.00
Tennessee,"6,346,105","1,055,689",16.64%,23%,6%,41,5,,2,,116,15,179,5.55,4.03,1.38
Texas,"25,145,561","2,979,598",11.85%,22%,10%,157,219,1,10,,258,74,719,7.53,4.08,1.84
Utah,"2,763,885","29,287",1.06%,10%,9%,8,13,2,,2,55,2,82,39.02,4.24,9.21
Vermont,"625,741","6,277",1.00%,0%,-1%,,1,1,,,9,1,12,0.00,2.74,0.00
Virginia,"8,001,024","1,551,399",19.39%,42%,23%,52,7,,1,,51,13,124,4.79,2.21,2.16
Washington,"6,724,540","240,042",3.57%,11%,8%,25,29,12,5,4,116,27,218,14.88,4.63,3.21
West Virginia,"1,852,994","63,124",3.41%,14%,10%,10,,,1,,51,12,74,22.63,5.71,3.97
Wisconsin,"5,686,986","359,148",6.32%,24%,18%,27,8,5,4,,63,4,111,10.74,2.79,3.85
Wyoming,"563,626","4,748",0.84%,0%,-1%,,2,2,,,12,3,19,0.00,4.82,0.00
,,,,,,,,,,,,,,,,
Data from 1/1/2013 - 12/31/2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
